,quadrante,caracteristica
284,Eficiente (D-R+),Canal_2
285,Eficiente (D-R+),Canal_2
286,Lucrativo (D+R+),Canal_2
287,Estável (D-R-),Canal_2
288,Lucrativo (D+R+),Canal_2
289,Desafiador (D+R-),Canal_2
290,Lucrativo (D+R+),Canal_2
291,Estável (D-R-),Canal_2
292,Estável (D-R-),Canal_1
293,Desafiador (D+R-),Canal_1
294,Estável (D-R-),Canal_2
295,Lucrativo (D+R+),Canal_1
296,Estável (D-R-),Canal_1
297,Desafiador (D+R-),Canal_1
298,Desafiador (D+R-),Canal_1
299,Estável (D-R-),Canal_1
300,Lucrativo (D+R+),Canal_1
301,Desafiador (D+R-),Canal_1
302,Estável (D-R-),Canal_1
303,Desafiador (D+R-),Canal_2
304,Desafiador (D+R-),Canal_2
305,Estável (D-R-),Canal_2
306,Desafiador (D+R-),Canal_1
307,Desafiador (D+R-),Canal_1
308,Lucrativo (D+R+),Canal_2
309,Desafiador (D+R-),Canal_2
310,Lucrativo (D+R+),Canal_1
311,Lucrativo (D+R+),Canal_1
312,Desafiador (D+R-),Canal_1
313,Desafiador (D+R-),Canal_1
314,Lucrativo (D+R+),Canal_1
315,Desafiador (D+R-),Canal_1
316,Lucrativo (D+R+),Canal_2
317,Lucrativo (D+R+),Canal_2
318,Lucrativo (D+R+),Canal_2
319,Desafiador (D+R-),Canal_2
320,Desafiador (D+R-),Canal_1
321,Desafiador (D+R-),Canal_1
322,Lucrativo (D+R+),Canal_1
323,Eficiente (D-R+),Canal_2
324,Eficiente (D-R+),Canal_2
325,Estável (D-R-),Canal_2
326,Desafiador (D+R-),Canal_2
327,Desafiador (D+R-),Canal_1
328,Desafiador (D+R-),Canal_1
329,Lucrativo (D+R+),Canal_1
330,Lucrativo (D+R+),Canal_1
331,Desafiador (D+R-),Canal_1
332,Desafiador (D+R-),Canal_1
333,Desafiador (D+R-),Canal_2
334,Lucrativo (D+R+),Canal_2
335,Desafiador (D+R-),Canal_2
336,Lucrativo (D+R+),Canal_2
337,Desafiador (D+R-),Canal_2
338,Desafiador (D+R-),Canal_1
339,Lucrativo (D+R+),Canal_1
340,Desafiador (D+R-),Canal_1
341,Estável (D-R-),Canal_2
342,Eficiente (D-R+),Canal_2
343,Eficiente (D-R+),Canal_2
344,Estável (D-R-),Canal_1
345,Lucrativo (D+R+),Canal_2
346,Lucrativo (D+R+),Canal_2
347,Desafiador (D+R-),Canal_2
348,Desafiador (D+R-),Canal_2
349,Desafiador (D+R-),Canal_1
350,Desafiador (D+R-),Canal_2
351,Desafiador (D+R-),Canal_2
352,Lucrativo (D+R+),Canal_1
353,Estável (D-R-),Canal_1
354,Lucrativo (D+R+),Canal_1
355,Estável (D-R-),Canal_1
356,Lucrativo (D+R+),Canal_2
357,Desafiador (D+R-),Canal_2
358,Lucrativo (D+R+),Canal_2
359,Desafiador (D+R-),Canal_2
360,Lucrativo (D+R+),Canal_1
361,Desafiador (D+R-),Canal_1
362,Desafiador (D+R-),Canal_1
363,Lucrativo (D+R+),Canal_1
364,Lucrativo (D+R+),Canal_1
365,Desafiador (D+R-),Canal_1
366,Desafiador (D+R-),Canal_2
367,Desafiador (D+R-),Canal_2
