,quadrante,caracteristica
501,D-_R+,Canal_2
502,D-_R+,Canal_2
503,D+_R+,Canal_2
504,D-_R-,Canal_2
505,D+_R+,Canal_2
506,D+_R-,Canal_2
507,D+_R+,Canal_2
508,D-_R-,Canal_2
509,D-_R-,Canal_1
510,D+_R-,Canal_1
511,D-_R-,Canal_2
512,D+_R+,Canal_1
513,D-_R-,Canal_1
514,D+_R-,Canal_1
515,D+_R-,Canal_1
516,D-_R-,Canal_1
517,D+_R+,Canal_1
518,D+_R-,Canal_1
519,D-_R-,Canal_1
520,D+_R-,Canal_2
521,D+_R-,Canal_2
522,D-_R-,Canal_2
523,D+_R-,Canal_1
524,D+_R-,Canal_1
525,D+_R+,Canal_2
526,D+_R-,Canal_2
527,D+_R+,Canal_1
528,D+_R+,Canal_1
529,D+_R-,Canal_1
530,D+_R-,Canal_1
531,D+_R+,Canal_1
532,D+_R-,Canal_1
533,D+_R+,Canal_2
534,D+_R+,Canal_2
535,D+_R+,Canal_2
536,D+_R-,Canal_2
537,D+_R-,Canal_1
538,D+_R-,Canal_1
539,D+_R+,Canal_1
540,D-_R+,Canal_2
541,D-_R+,Canal_2
542,D-_R-,Canal_2
543,D+_R-,Canal_2
544,D+_R-,Canal_1
545,D+_R-,Canal_1
546,D+_R+,Canal_1
547,D+_R+,Canal_1
548,D+_R-,Canal_1
549,D+_R-,Canal_1
550,D+_R-,Canal_2
551,D+_R+,Canal_2
552,D+_R-,Canal_2
553,D+_R+,Canal_2
554,D+_R-,Canal_2
555,D+_R-,Canal_1
556,D+_R+,Canal_1
557,D+_R-,Canal_1
558,D-_R-,Canal_2
559,D-_R+,Canal_2
560,D-_R+,Canal_2
561,D-_R-,Canal_1
562,D+_R+,Canal_2
563,D+_R+,Canal_2
564,D+_R-,Canal_2
565,D+_R-,Canal_2
566,D+_R-,Canal_1
567,D+_R-,Canal_2
568,D+_R-,Canal_2
569,D+_R+,Canal_1
570,D-_R-,Canal_1
571,D+_R+,Canal_1
572,D-_R-,Canal_1
573,D+_R+,Canal_2
574,D+_R-,Canal_2
575,D+_R+,Canal_2
576,D+_R-,Canal_2
577,D+_R+,Canal_1
578,D+_R-,Canal_1
579,D+_R-,Canal_1
580,D+_R+,Canal_1
581,D+_R+,Canal_1
582,D+_R-,Canal_1
583,D+_R-,Canal_2
584,D+_R-,Canal_2
585,D-_R+,Canal_2
586,D-_R+,Canal_2
587,D+_R+,Canal_1
588,D+_R+,Canal_1
589,D-_R+,Canal_2
590,D+_R-,Canal_1
591,D-_R+,Canal_2
592,D+_R-,Canal_1
593,D+_R+,Canal_1
594,D-_R-,Canal_1
595,D-_R+,Canal_2
596,D-_R+,Canal_2
597,D-_R+,Canal_2
598,D-_R+,Canal_2
599,D-_R-,Canal_1
600,D+_R+,Canal_1
601,D-_R+,Canal_1
602,D-_R+,Canal_2
603,D-_R+,Canal_2
604,D-_R+,Canal_2
605,D-_R+,Canal_2
606,D-_R-,Canal_1
607,D-_R+,Canal_1
608,D+_R+,Canal_1
609,D+_R+,Canal_1
610,D+_R-,Canal_1
611,D+_R-,Canal_1
612,D+_R+,Canal_1
613,D+_R-,Canal_1
614,D+_R+,Canal_1
615,D+_R-,Canal_2
616,D+_R+,Canal_2
617,D+_R+,Canal_2
618,D+_R-,Canal_2
619,D+_R-,Canal_2
620,D+_R+,Canal_2
621,D+_R+,Canal_1
622,D-_R-,Canal_1
623,D-_R+,Canal_2
624,D+_R-,Canal_1
625,D-_R+,Canal_2
626,D-_R+,Canal_2
627,D-_R-,Canal_1
628,D-_R-,Canal_2
629,D-_R-,Canal_2
630,D-_R+,Canal_2
631,D-_R+,Canal_2
632,D-_R-,Canal_2
633,D-_R+,Canal_1
634,D-_R+,Canal_1
635,D-_R-,Canal_2
636,D+_R-,Canal_1
637,D-_R-,Canal_2
638,D-_R+,Canal_2
639,D-_R-,Canal_2
640,D-_R+,Canal_2
641,D-_R-,Canal_2
642,D-_R+,Canal_2
643,D-_R+,Canal_1
644,D+_R+,Canal_1
645,D+_R+,Canal_2
646,D+_R-,Canal_2
647,D+_R+,Canal_2
648,D+_R-,Canal_2
649,D+_R+,Canal_2
650,D+_R-,Canal_1
651,D+_R+,Canal_1
652,D+_R+,Canal_1
653,D+_R+,Canal_1
654,D+_R+,Canal_1
655,D+_R+,Canal_1
656,D+_R-,Canal_1
657,D-_R+,Canal_2
658,D-_R+,Canal_2
659,D-_R+,Canal_2
660,D+_R-,Canal_1
661,D-_R-,Canal_1
662,D-_R-,Canal_1
663,D-_R-,Canal_1
664,D+_R+,Canal_2
665,D-_R-,Canal_2
666,D-_R+,Canal_2
667,D+_R-,Canal_2
668,D-_R-,Canal_2
669,D+_R+,Canal_2
670,D+_R-,Canal_2
671,D-_R+,Canal_2
672,D+_R-,Canal_2
673,D+_R+,Canal_2
674,D-_R+,Canal_1
675,D+_R-,Canal_1
676,D+_R-,Canal_1
677,D-_R-,Canal_2
678,D-_R-,Canal_2
679,D-_R-,Canal_1
680,D+_R-,Canal_1
681,D+_R+,Canal_1
682,D+_R+,Canal_1
683,D+_R+,Canal_2
684,D+_R-,Canal_2
685,D+_R-,Canal_2
686,D+_R+,Canal_2
687,D+_R+,Canal_2
688,D+_R-,Canal_2
689,D+_R-,Canal_1
690,D+_R+,Canal_1
691,D+_R+,Canal_1
692,D+_R+,Canal_1
693,D+_R-,Canal_1
694,D+_R-,Canal_1
695,D-_R+,Canal_2
696,D+_R-,Canal_1
697,D+_R+,Canal_1
698,D+_R+,Canal_1
699,D-_R+,Canal_2
700,D-_R+,Canal_2
701,D+_R+,Canal_1
702,D+_R+,Canal_2
703,D+_R-,Canal_1
704,D+_R-,Canal_2
705,D+_R-,Canal_1
706,D+_R+,Canal_1
707,D+_R-,Canal_1
708,D+_R+,Canal_2
709,D+_R+,Canal_2
710,D+_R-,Canal_2
711,D+_R-,Canal_2
712,D+_R-,Canal_1
713,D+_R+,Canal_1
714,D-_R+,Canal_2
715,D-_R+,Canal_2
716,D+_R+,Canal_1
717,D+_R+,Canal_1
718,D-_R-,Canal_1
719,D-_R+,Canal_2
720,D-_R+,Canal_2
721,D-_R+,Canal_2
722,D-_R+,Canal_1
723,D+_R+,Canal_1
724,D+_R-,Canal_1
725,D-_R+,Canal_2
726,D+_R-,Canal_1
727,D+_R+,Canal_1
728,D+_R+,Canal_1
729,D+_R-,Canal_2
730,D+_R+,Canal_2
731,D+_R+,Canal_1
732,D+_R+,Canal_2
733,D+_R+,Canal_2
734,D+_R-,Canal_2
735,D+_R-,Canal_2
736,D-_R+,Canal_2
737,D-_R+,Canal_2
738,D+_R+,Canal_1
739,D+_R+,Canal_1
740,D-_R+,Canal_2
741,D-_R-,Canal_1
742,D-_R-,Canal_1
743,D-_R+,Canal_2
744,D-_R+,Canal_2
745,D-_R+,Canal_2
746,D-_R+,Canal_1
747,D+_R+,Canal_1
748,D-_R+,Canal_2
749,D-_R+,Canal_2
750,D-_R+,Canal_1
751,D+_R+,Canal_1
752,D-_R+,Canal_2
753,D-_R+,Canal_1
754,D+_R+,Canal_1
755,D-_R+,Canal_1
756,D-_R+,Canal_2
757,D-_R+,Canal_2
758,D-_R+,Canal_2
759,D-_R-,Canal_1
760,D+_R-,Canal_1
761,D+_R+,Canal_1
762,D+_R-,Canal_2
763,D+_R+,Canal_2
764,D+_R+,Canal_1
765,D+_R+,Canal_1
766,D+_R-,Canal_1
767,D+_R-,Canal_2
768,D+_R+,Canal_2
769,D+_R-,Canal_2
770,D+_R+,Canal_2
771,D-_R+,Canal_2
772,D-_R+,Canal_2
773,D+_R+,Canal_1
774,D+_R+,Canal_1
775,D+_R-,Canal_1
776,D-_R+,Canal_2
777,D+_R+,Canal_2
778,D+_R+,Canal_1
779,D+_R-,Canal_1
780,D+_R-,Canal_2
781,D+_R+,Canal_1
782,D+_R+,Canal_1
783,D+_R-,Canal_2
784,D+_R-,Canal_2
785,D+_R+,Canal_2
786,D+_R+,Canal_2
787,D+_R+,Canal_2
788,D+_R-,Canal_1
789,D-_R+,Canal_2
790,D-_R+,Canal_2
791,D-_R-,Canal_2
792,D-_R-,Canal_2
793,D-_R-,Canal_2
794,D+_R+,Canal_1
795,D+_R+,Canal_1
796,D-_R+,Canal_2
797,D+_R-,Canal_1
798,D+_R-,Canal_2
799,D+_R+,Canal_2
800,D+_R-,Canal_2
801,D+_R-,Canal_1
802,D+_R+,Canal_2
803,D+_R+,Canal_1
804,D+_R+,Canal_2
805,D+_R-,Canal_2
806,D+_R-,Canal_1
807,D+_R-,Canal_1
808,D+_R+,Canal_1
809,D+_R+,Canal_1
810,D-_R-,Canal_1
811,D-_R+,Canal_2
812,D-_R+,Canal_2
813,D-_R+,Canal_2
814,D+_R+,Canal_1
815,D+_R+,Canal_1
816,D-_R-,Canal_2
817,D+_R-,Canal_2
818,D-_R+,Canal_2
819,D-_R-,Canal_2
820,D+_R+,Canal_2
821,D-_R+,Canal_2
822,D+_R+,Canal_2
823,D-_R-,Canal_2
824,D+_R-,Canal_1
825,D+_R+,Canal_1
826,D-_R-,Canal_1
827,D+_R-,Canal_2
828,D+_R+,Canal_1
829,D+_R+,Canal_1
830,D-_R+,Canal_1
831,D-_R-,Canal_2
832,D+_R+,Canal_2
833,D-_R+,Canal_2
834,D+_R-,Canal_1
835,D-_R-,Canal_1
836,D+_R+,Canal_1
837,D+_R-,Canal_2
838,D+_R+,Canal_2
839,D+_R-,Canal_2
840,D+_R+,Canal_2
841,D+_R-,Canal_2
842,D+_R+,Canal_2
843,D+_R-,Canal_1
844,D+_R+,Canal_1
845,D+_R+,Canal_1
846,D+_R+,Canal_1
847,D+_R+,Canal_1
848,D+_R+,Canal_1
849,D-_R+,Canal_2
850,D+_R+,Canal_1
851,D-_R+,Canal_2
852,D-_R+,Canal_2
853,D+_R+,Canal_1
854,D+_R+,Canal_2
855,D+_R-,Canal_2
856,D+_R+,Canal_1
857,D+_R-,Canal_1
858,D+_R+,Canal_1
859,D+_R-,Canal_2
860,D+_R-,Canal_2
861,D+_R+,Canal_2
862,D+_R+,Canal_2
863,D-_R+,Canal_2
864,D-_R+,Canal_2
865,D+_R+,Canal_1
866,D+_R+,Canal_1
867,D-_R+,Canal_2
868,D+_R+,Canal_1
869,D-_R+,Canal_2
870,D-_R+,Canal_2
871,D-_R+,Canal_2
872,D-_R+,Canal_1
873,D+_R+,Canal_1
874,D+_R+,Canal_1
875,D+_R+,Canal_2
876,D+_R-,Canal_2
877,D+_R-,Canal_2
878,D+_R+,Canal_2
879,D+_R+,Canal_1
880,D+_R-,Canal_1
881,D+_R+,Canal_1
882,D+_R+,Canal_1
883,D+_R-,Canal_1
884,D+_R+,Canal_2
885,D+_R-,Canal_2
886,D-_R+,Canal_2
887,D+_R+,Canal_1
888,D+_R+,Canal_1
889,D-_R+,Canal_2
890,D-_R+,Canal_2
891,D+_R-,Canal_1
892,D-_R+,Canal_2
893,D+_R-,Canal_1
894,D+_R+,Canal_1
895,D-_R+,Canal_1
896,D-_R+,Canal_2
897,D-_R+,Canal_2
898,D-_R+,Canal_2
899,D-_R+,Canal_2
900,D-_R+,Canal_1
901,D-_R+,Canal_2
902,D+_R+,Canal_1
903,D+_R+,Canal_1
904,D-_R+,Canal_1
905,D+_R+,Canal_1
906,D-_R+,Canal_1
907,D-_R+,Canal_2
908,D-_R+,Canal_2
909,D-_R+,Canal_2
910,D+_R+,Canal_2
911,D+_R-,Canal_2
912,D+_R+,Canal_2
913,D+_R+,Canal_1
914,D+_R+,Canal_1
915,D+_R+,Canal_1
916,D+_R+,Canal_2
