,quadrante,caracteristica
284,D-_R+,Canal_2
285,D-_R+,Canal_2
286,D+_R+,Canal_2
287,D-_R-,Canal_2
288,D+_R+,Canal_2
289,D+_R-,Canal_2
290,D+_R+,Canal_2
291,D-_R-,Canal_2
292,D-_R-,Canal_1
293,D+_R-,Canal_1
294,D-_R-,Canal_2
295,D+_R+,Canal_1
296,D-_R-,Canal_1
297,D+_R-,Canal_1
298,D+_R-,Canal_1
299,D-_R-,Canal_1
300,D+_R+,Canal_1
301,D+_R-,Canal_1
302,D-_R-,Canal_1
303,D+_R-,Canal_2
304,D+_R-,Canal_2
305,D-_R-,Canal_2
306,D+_R-,Canal_1
307,D+_R-,Canal_1
308,D+_R+,Canal_2
309,D+_R-,Canal_2
310,D+_R+,Canal_1
311,D+_R+,Canal_1
312,D+_R-,Canal_1
313,D+_R-,Canal_1
314,D+_R+,Canal_1
315,D+_R-,Canal_1
316,D+_R+,Canal_2
317,D+_R+,Canal_2
318,D+_R+,Canal_2
319,D+_R-,Canal_2
320,D+_R-,Canal_1
321,D+_R-,Canal_1
322,D+_R+,Canal_1
323,D-_R+,Canal_2
324,D-_R+,Canal_2
325,D-_R-,Canal_2
326,D+_R-,Canal_2
327,D+_R-,Canal_1
328,D+_R-,Canal_1
329,D+_R+,Canal_1
330,D+_R+,Canal_1
331,D+_R-,Canal_1
332,D+_R-,Canal_1
333,D+_R-,Canal_2
334,D+_R+,Canal_2
335,D+_R-,Canal_2
336,D+_R+,Canal_2
337,D+_R-,Canal_2
338,D+_R-,Canal_1
339,D+_R+,Canal_1
340,D+_R-,Canal_1
341,D-_R-,Canal_2
342,D-_R+,Canal_2
343,D-_R+,Canal_2
344,D-_R-,Canal_1
345,D+_R+,Canal_2
346,D+_R+,Canal_2
347,D+_R-,Canal_2
348,D+_R-,Canal_2
349,D+_R-,Canal_1
350,D+_R-,Canal_2
351,D+_R-,Canal_2
352,D+_R+,Canal_1
353,D-_R-,Canal_1
354,D+_R+,Canal_1
355,D-_R-,Canal_1
356,D+_R+,Canal_2
357,D+_R-,Canal_2
358,D+_R+,Canal_2
359,D+_R-,Canal_2
360,D+_R+,Canal_1
361,D+_R-,Canal_1
362,D+_R-,Canal_1
363,D+_R+,Canal_1
364,D+_R+,Canal_1
365,D+_R-,Canal_1
366,D+_R-,Canal_2
367,D+_R-,Canal_2
368,D-_R+,Canal_2
369,D-_R+,Canal_2
370,D+_R+,Canal_1
371,D+_R+,Canal_1
372,D-_R+,Canal_2
373,D+_R-,Canal_1
374,D-_R+,Canal_2
375,D+_R-,Canal_1
376,D+_R+,Canal_1
377,D-_R-,Canal_1
378,D-_R+,Canal_2
379,D-_R+,Canal_2
380,D-_R+,Canal_2
381,D-_R+,Canal_2
382,D-_R-,Canal_1
383,D+_R+,Canal_1
384,D-_R+,Canal_1
385,D-_R+,Canal_2
386,D-_R+,Canal_2
387,D-_R+,Canal_2
388,D-_R+,Canal_2
389,D-_R-,Canal_1
390,D-_R+,Canal_1
391,D+_R+,Canal_1
392,D+_R+,Canal_1
393,D+_R-,Canal_1
394,D+_R-,Canal_1
395,D+_R+,Canal_1
396,D+_R-,Canal_1
397,D+_R+,Canal_1
398,D+_R-,Canal_2
399,D+_R+,Canal_2
400,D+_R+,Canal_2
401,D+_R-,Canal_2
402,D+_R-,Canal_2
403,D+_R+,Canal_2
404,D+_R+,Canal_1
405,D-_R-,Canal_1
406,D-_R+,Canal_2
407,D+_R-,Canal_1
408,D-_R+,Canal_2
409,D-_R+,Canal_2
410,D-_R-,Canal_1
411,D-_R-,Canal_2
412,D-_R-,Canal_2
413,D-_R+,Canal_2
414,D-_R+,Canal_2
415,D-_R-,Canal_2
416,D-_R+,Canal_1
417,D-_R+,Canal_1
418,D-_R-,Canal_2
419,D+_R-,Canal_1
420,D-_R-,Canal_2
421,D-_R+,Canal_2
422,D-_R-,Canal_2
423,D-_R+,Canal_2
424,D-_R-,Canal_2
425,D-_R+,Canal_2
426,D-_R+,Canal_1
427,D+_R+,Canal_1
428,D+_R+,Canal_2
429,D+_R-,Canal_2
430,D+_R+,Canal_2
431,D+_R-,Canal_2
432,D+_R+,Canal_2
433,D+_R-,Canal_1
434,D+_R+,Canal_1
435,D+_R+,Canal_1
436,D+_R+,Canal_1
437,D+_R+,Canal_1
438,D+_R+,Canal_1
439,D+_R-,Canal_1
440,D-_R+,Canal_2
441,D-_R+,Canal_2
442,D-_R+,Canal_2
443,D+_R-,Canal_1
444,D-_R-,Canal_1
445,D-_R-,Canal_1
446,D-_R-,Canal_1
447,D+_R+,Canal_2
448,D-_R-,Canal_2
449,D-_R+,Canal_2
450,D+_R-,Canal_2
451,D-_R-,Canal_2
452,D+_R+,Canal_2
453,D+_R-,Canal_2
454,D-_R+,Canal_2
455,D+_R-,Canal_2
456,D+_R+,Canal_2
457,D-_R+,Canal_1
458,D+_R-,Canal_1
459,D+_R-,Canal_1
460,D-_R-,Canal_2
